otto_product_id,export_batch_id,asin,parent_asin,child_asin,amazon_url,product_title,brand,amazon_category,variation_attributes,amazon_price,coupon_detected,delivery_days,stock_status,rating,review_count,source_confidence_score,product_match_type,opportunity_type,marketplace_signal_sources,primary_discovery_source,secondary_discovery_sources,core_keyword,related_keywords,ebay_category_hint,demand_type,sell_within_30_days_confidence,stagnation_risk_score,demand_score,category_velocity_score,keyword_demand_score,competitor_success_score,saturation_score,trend_momentum_score,policy_risk_score,vero_risk_score,restricted_category_risk_score,ip_risk_score,edge_case_risk_score,fragility_score,variation_confusion_score,total_cost_estimate,predicted_monthly_profit_per_100_listings,final_validation_score,validation_status,validated_at,raw_delivery_text,delivery_context,prime_signal_detected,prime_signal_source,fba_signal_detected,ships_from_amazon,sold_by_amazon,fulfilled_by_amazon,shipping_gate_result,shipping_review_required
OTTO-e66594ec-64e8-450a-bbe4-00c674da4397,41f1829b-cc59-4283-a7ad-a6eb6d87537c,B0DZC6CPNB,,,https://www.amazon.com/Klutch-Gladiator-Overhead-Garage-Storage/dp/B0DZC6CPNB/ref=sr_1_1,"Klutch Overhead Garage Storage Rack — Adjustable Height, 96in.L x 48in.D x 23–37in.H",Klutch,Tools & Home Improvement > Storage & Home Organization > Garage Storage > Storage Racks,,124.99,false,4,in_stock,4.3,26,82.86666666666667,exact,direct_match,ebay_browse_api,ebay_browse_api,,garage storage rack,,Other Home Organization,steady,83.94547686881022,25,73.88215981549317,65.2068376068376,100,65.88461538461547,42.417582417582416,88,0,0,0,0,0,0,0,141.7,0,82.23650698684035,validated,2026-05-25T02:11:36.872Z,FREE delivery May 27 - 29. Details,public_guest_zip,false,,false,false,false,false,pass,false
OTTO-dd687422-a54d-434b-9bc0-ba6d04893b91,41f1829b-cc59-4283-a7ad-a6eb6d87537c,B0DTY91JWP,,,https://www.amazon.com/OLIPIC-Rolling-Adjustable-Warehouse-Firewood/dp/B0DTY91JWP/ref=sr_1_2,"Tire Rack, Rolling Tire Storage Rack 60"" X 59"" X 21"", Adjustable Metal Rolling Tire Rack for Indoor/Outdoor Use Tire Rack for Garage Warehouse, Also Be Used for Firewood Rack",OLIPIC,Automotive > Tools & Equipment > Tire & Wheel Tools > Tire Repair Tools,,95.75,false,8,in_stock,5,2,77.31428571428572,similar,direct_match,ebay_browse_api,ebay_browse_api,,garage storage rack,,Other Home Organization,steady,72.50262156714537,25,71.59155958679767,37.38979591836734,100,61.948979591836704,46.76492819349962,94,0,0,0,0,0,0,0,108.59,0,77.8874103048627,validated,2026-05-25T02:11:52.931Z,FREE delivery May 29 - June 2. Details,public_guest_zip,true,prime_badge,false,false,false,false,pass,false
OTTO-a6dd54bc-e7c8-40dc-927b-c533082b3045,41f1829b-cc59-4283-a7ad-a6eb6d87537c,B0F1YL7C2T,,,https://www.amazon.com/Management-Cord%E3%80%91%E3%80%90Enhanced-Organizer-Adjustable-Reusable/dp/B0F1YL7C2T/ref=sr_1_6,"Cable Management Under Desk, 【Up to 15 Cord】【Enhanced Wire Holder】 Cord Organizer, Adjustable Hook and Loop Cable Ties, Home Office Essentials, Cable Hider Clips Under Table, 20 Pair",fansto,Electronics > Accessories & Supplies > Cord Management > Cable Straps,,9.99,true,4,in_stock,4.5,609,76.55,similar,direct_match,ebay_browse_api,ebay_browse_api,,desk cable organizer,,Cable Ties & Organizers,high_velocity,85.59973875661377,25,72.79212962962964,49.78988095238094,100,61.59821428571436,45.714285714285715,90,15,0,0,0,20,0,0,11.46,0,79.296773478836,validated,2026-05-25T02:13:35.891Z,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35 Or fastest delivery Thursday, May 28. Order within 2 hrs 46 mins",public_guest_zip,true,prime_badge,false,false,false,false,pass,false
OTTO-72b13890-bd85-45c4-8919-5a87d160d010,41f1829b-cc59-4283-a7ad-a6eb6d87537c,B0C8N81CZY,,,https://www.amazon.com/Management-Organizer-Accessories-Workspace-Organizers/dp/B0C8N81CZY/ref=sr_1_9,"Under Desk Cable Management Tray White, No Drill Desk Cable Management Organizer with Clamp for Desk Wire Management, PC Cord Organizer Accessories & Workspace Organizers for Office, Home",Kaiferty,Electronics > Accessories & Supplies > Cord Management > Cable Raceways,,13.99,false,4,in_stock,4.6,833,85.73076923076923,exact,direct_match,ebay_browse_api,ebay_browse_api,,desk cable organizer,,Cable Ties & Organizers,steady,77.8163001972714,25,68.01723746543888,48.925108225108225,100,61.7467532467532,43.03279454358591,90,15,0,0,0,20,0,0,15.99,0,75.051785045357,validated,2026-05-25T02:14:13.291Z,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35. Order within 2 hrs 45 mins",public_guest_zip,true,prime_badge,false,false,false,false,pass,false
OTTO-4ca2d2d1-2517-48e1-b901-79c60a9ce8be,41f1829b-cc59-4283-a7ad-a6eb6d87537c,B0F42R9NYQ,,,https://www.amazon.com/Univivi-Management-Organizer-Premium-Fabric/dp/B0F42R9NYQ/ref=sr_1_4,"Univivi No Drill Under Desk Cable Management Tray, 36"" Cord Organizer for Table, Clamp/Screw Mount Desk Cable Management, Premium Fabric Cable Management Tray for Office, Home",Univivi,Electronics > Computers & Accessories > Computer Accessories & Peripherals > Racks & Cabinets,,37.98,true,4,in_stock,4.7,590,91.65,exact,direct_match,ebay_browse_api,ebay_browse_api,,desk cable organizer,,Cable Carriers,steady,79.92905471216051,25,67.34462111952604,35.392018779342735,100,56.514084507042284,42.353243548884556,86,15,0,0,0,20,0,0,43.16,0,75.41656486145858,validated,2026-05-25T02:14:47.849Z,"FREE delivery Friday, May 29 Or fastest delivery Thursday, May 28. Order within 2 hrs 45 mins",public_guest_zip,false,,false,false,false,false,pass,false
OTTO-f04294e0-2144-4d79-be6d-675a76855e5d,41f1829b-cc59-4283-a7ad-a6eb6d87537c,B08GCJ9LHB,,,https://www.amazon.com/Goplus-Foldable-Kneeler-Portable-Pouches/dp/B08GCJ9LHB/ref=sr_1_2,"Goplus Garden Kneeler and Seat, Foldable Garden Bench for Kneeling & Sitting, Widened 8"" EVA Soft Foam Pad, Heavy-Duty Garden Stool w/ 2 Large Tool Pouches, Gardening Gift for Women Men Seniors",Goplus,"Patio, Lawn & Garden > Gardening & Lawn Care > Gloves & Protective Gear > Workseats",,40.98,false,7,in_stock,4.6,724,77.88399503722084,similar,direct_match,ebay_browse_api,ebay_browse_api,,garden kneeling pad,,"Garden Kneelers, Cushions & Seats",steady,73.65314244072917,25,67.68771089148447,45.25094339622641,100,57.9528301886792,44.17939502845163,86,0,0,0,0,0,0,0,46.56,0,76.67102708881255,validated,2026-05-25T02:15:21.919Z,FREE delivery May 28 - June 1. Details,public_guest_zip,true,prime_badge,false,false,false,false,pass,false
OTTO-1cc87f71-2e23-4bdf-bb88-62584624e28f,41f1829b-cc59-4283-a7ad-a6eb6d87537c,B0DS1QSHJL,,,https://www.amazon.com/Extra-Thick-Garden-Kneeling-Water-Resistant/dp/B0DS1QSHJL/ref=sr_1_1,"Extra Thick Garden Kneeling Pad - Foam Kneeling Pads for Gardening, Work & Exercise - Water-Resistant Knee Mat with Shock Absorbent Cushions for Baby Bath & Yoga, 17.2x11x1.5in, Black",fitply,"Patio, Lawn & Garden > Gardening & Lawn Care > Gloves & Protective Gear > Knee Pads & Kneeling Cushions",,10.99,false,7,in_stock,4.1,15,84.57407407407408,exact,direct_match,ebay_browse_api,ebay_browse_api,,garden kneeling pad,,"Garden Kneelers, Cushions & Seats",steady,79.81512345679018,25,75.80983671843893,59.951612903225794,100,65.64516129032282,40.764635603345276,78,0,0,0,0,0,0,0,12.6,0,81.76847172441263,validated,2026-05-25T02:15:36.107Z,"FREE delivery Monday, June 1 on orders shipped by Amazon over $35",public_guest_zip,true,prime_badge,false,false,false,false,pass,false
OTTO-155dcc1f-dec5-4f6c-b970-93c8e59d8cf3,41f1829b-cc59-4283-a7ad-a6eb6d87537c,B0GHZNDHKP,,,https://www.amazon.com/Grenebo-High-Density-Kneeling-Gardening-17-3%C3%9711%C3%971-6/dp/B0GHZNDHKP/ref=sr_1_2,"Grenebo High-Density NBR Foam Garden Kneeling Pad, 1.6"" Extra Thick Gardening Pads for Kneeling, Ultra Soft Kneeling Pads for Gardening, Work, Exercise, Yoga, 17.3×11×1.6 in (2, Black)",Grenebo,"Patio, Lawn & Garden > Gardening & Lawn Care > Gloves & Protective Gear > Knee Pads & Kneeling Cushions",,20.99,false,4,in_stock,4.8,407,76.50172413793103,similar,direct_match,ebay_browse_api,ebay_browse_api,,garden kneeling pad,,"Garden Kneelers, Cushions & Seats",steady,78.15739463601533,25,69.87777777777778,59.92777777777777,100,63.874999999999986,35.925925925925924,84,0,0,0,0,0,0,0,23.92,0,78.89832950191573,validated,2026-05-25T02:15:53.114Z,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35 Or fastest delivery Thursday, May 28. Order within 2 hrs 44 mins",public_guest_zip,false,,false,false,false,false,pass,false
OTTO-ac168b4a-0fb1-43da-bd4e-3df186cd5730,41f1829b-cc59-4283-a7ad-a6eb6d87537c,B0D2X29NGL,,,https://www.amazon.com/HOOPLE-Kneeling-Gardening-Waterproof-Lightweight/dp/B0D2X29NGL/ref=sr_1_1,"HOOPLE Kneeling Pad for Gardening, Lightweight Foam Knee Cushion for Garden, Bath, Yoga & Exercise, Waterproof Comfort Kneeling Mat for Home, Garage & Outdoor Work, Black 14.6 x 11.5 x 0.7 Inch",HOOPLE,"Patio, Lawn & Garden > Gardening & Lawn Care > Gloves & Protective Gear > Knee Pads & Kneeling Cushions",,9.99,false,4,in_stock,4.6,990,84.92241379310346,exact,direct_match,ebay_browse_api,ebay_browse_api,,garden kneeling pad,,"Garden Kneelers, Cushions & Seats",high_velocity,91.23665109546118,25,76.8265285306289,59.69186046511629,100,63.9534883720931,35.052456723203356,82,0,0,0,0,0,0,0,11.46,0,85.60160674088993,validated,2026-05-25T02:16:21.806Z,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35. Order within 2 hrs 43 mins",public_guest_zip,true,"prime_badge,sold_by_amazon,fulfilled_by_amazon",true,false,true,true,pass,false
OTTO-04eeb3c5-3d5a-4c68-98a9-5f47c8956b09,41f1829b-cc59-4283-a7ad-a6eb6d87537c,B0BCJQ31XZ,,,https://www.amazon.com/BTSKY-3-Layer-Organizer-Adjustable-Multipurpose/dp/B0BCJQ31XZ/ref=sr_1_3,BTSKY 3-Layer Plastic Dividing Storage Box Craft Organizer and Storage with Adjustable Spacers Portable Handled Art Supply Organizer Multipurpose Home Utility Box Organizer (Pink),BTSKY,"Arts, Crafts & Sewing > Organization, Storage & Transport > Storage Boxes & Organizers",,20.99,false,4,in_stock,4.4,1003,90.26190476190476,exact,direct_match,ebay_browse_api,ebay_browse_api,,craft storage box,,Storage Boxes,high_velocity,91.97133022097726,25,79.03580454403982,77.13176470588238,100,66.15406162464978,27.843137254901965,86,0,0,0,0,0,0,0,23.92,0,86.70572088390912,validated,2026-05-25T02:17:19.753Z,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35 Or fastest delivery Thursday, May 28. Order within 2 hrs 42 mins",public_guest_zip,false,,false,false,false,false,pass,false
