otto_product_id,asin,amazon_url,product_title,brand,amazon_price,delivery_days,sell_within_30_days_confidence,stagnation_risk_score,policy_risk_score,final_validation_score,would_list_yes_no,asin_real_yes_no,demand_makes_sense_yes_no,low_risk_yes_no,notes
OTTO-58ff9b5b-ae9d-4e65-bef0-61265eb4d690,B0DZC6CPNB,https://www.amazon.com/Klutch-Gladiator-Overhead-Garage-Storage/dp/B0DZC6CPNB/ref=sr_1_1,"Klutch Overhead Garage Storage Rack — Adjustable Height, 96in.L x 48in.D x 23–37in.H",Klutch,124.99,5,84.19001015171798,25,0,82.35857645024545,,,,,
OTTO-d06e3a0f-64cd-44ae-91a0-0d2d90ca4263,B0DTY91JWP,https://www.amazon.com/OLIPIC-Rolling-Adjustable-Warehouse-Firewood/dp/B0DTY91JWP/ref=sr_1_2,"Tire Rack, Rolling Tire Storage Rack 60"" X 59"" X 21"", Adjustable Metal Rolling Tire Rack for Indoor/Outdoor Use Tire Rack for Garage Warehouse, Also Be Used for Firewood Rack",OLIPIC,95.75,9,71.86638955247649,25,0,77.4673193183628,,,,,
OTTO-3e1d3d1d-7049-4168-994e-8e3b6f12c6e2,B0F1YL7C2T,https://www.amazon.com/Management-Cord%E3%80%91%E3%80%90Enhanced-Organizer-Adjustable-Reusable/dp/B0F1YL7C2T/ref=sr_1_5,"Cable Management Under Desk, 【Up to 15 Cord】【Enhanced Wire Holder】 Cord Organizer, Adjustable Hook and Loop Cable Ties, Home Office Essentials, Cable Hider Clips Under Table, 20 Pair",fansto,9.99,5,85.0514372737399,25,15,78.87425880673908,,,,,
OTTO-a2296ca7-9176-4158-9299-b5551f17e4f4,B0DK13ZHNJ,https://www.amazon.com/Univivi-Management-Organizer-Premium-Fabric/dp/B0DK13ZHNJ/ref=sr_1_1,"Univivi No Drill Under Desk Cable Management Tray, 36"" Cord Organizer for Table, Clamp/Screw Mount Desk Cable Management, Premium Fabric Cable Management Tray for Office, Home",Univivi,37.98,5,79.85290172597583,25,15,75.35788226622215,,,,,
OTTO-67685186-ff01-4572-ac05-eede0a7df4fa,B0B82MZVFG,https://www.amazon.com/NODOCA-Management-Punch-Free-Newest-Organizer/dp/B0B82MZVFG/ref=sr_1_10,"NODOCA No Drill Under Desk Cable Management Tray, 14'' Wire Management, Punch-Free Clamp on, Metal Cable Tray, Wire Organizer Under Desk, Under Desk Basket for Office and Home, Black",NODOCA,26.99,5,81.33761373387378,25,15,76.84396338793566,,,,,
OTTO-78a7c320-95b4-455e-8668-3ba10cf98155,B0C95BJG5S,https://www.amazon.com/POUT-Universal-Under-Management-Organizer/dp/B0C95BJG5S/ref=sr_1_1,POUT Universal Wide Under Desk Cable Management Tray Organizer - 23.6 x 5.3 inch – for Wire/Cable Management - Hanging Easily Removable Rack with Cable Management Holes – Sturdy Stylish Black Steel,POUT,19.99,5,71.88489082519673,25,0,76.38260315988963,,,,,
OTTO-4c9ee264-fff3-4fb9-b26e-f05cd75bf442,B072XJT436,https://www.amazon.com/25pcs-Adhesive-Adjustable-Optional-Management/dp/B072XJT436/ref=sr_1_10,25 Pieces Desk Wire Organizer Cable Ties Zip Ties Adhesive Cord Clips Cable Management Cord Keeper Desk Wire Management,RayTour,7.99,5,86.73976351170924,25,15,80.46135039987716,,,,,
OTTO-53a34aa1-29bd-4b10-9b8a-bdb4f23acda5,B0F5W7GDZB,https://www.amazon.com/Under-Desk-Cable-Management-Small/dp/B0F5W7GDZB/ref=sr_1_8,"Under Desk Cable Management Tray Small – Clamp-Mounted Wire Organizer & Cord Management Under Desk Rack, No-Drill Metal Cable Organizer for Home Office (Black)",QUELIEN,16.99,5,76.1764469539767,25,0,76.39821702308888,,,,,
OTTO-a21ba33f-00dd-45e8-ae85-77d01908b0a8,B0GSNLFX8S,https://www.amazon.com/Organizer-Management-Sleeves-Scissors-Included/dp/B0GSNLFX8S/ref=sr_1_8,"314 Piece Cord Organizer & Cable Management Set, All in One Desk and TV Cable Management Kit with Clips, Sleeves, Ties, Mounts for Home Office Perfect Tech Organizer Scissors & Travel Case Included",Atticus Goods,18.99,5,79.9524370845204,25,15,75.99119171415005,,,,,
OTTO-6a49158d-dd85-4919-8c69-82653d9944a0,B08GCJ9LHB,https://www.amazon.com/Goplus-Foldable-Kneeler-Portable-Pouches/dp/B08GCJ9LHB/ref=sr_1_2,"Goplus Garden Kneeler and Seat, Foldable Garden Bench for Kneeling & Sitting, Widened 8"" EVA Soft Foam Pad, Heavy-Duty Garden Stool w/ 2 Large Tool Pouches, Gardening Gift for Women Men Seniors",Goplus,40.98,8,72.00439366011288,25,0,76.10640302845529,,,,,
