otto_product_id,asin,amazon_url,product_title,brand,amazon_price,delivery_days,raw_delivery_text,delivery_context,prime_signal_detected,prime_signal_source,fba_signal_detected,ships_from_amazon,sold_by_amazon,fulfilled_by_amazon,shipping_gate_result,shipping_review_required,sell_within_30_days_confidence,stagnation_risk_score,policy_risk_score,final_validation_score,would_list_yes_no,asin_real_yes_no,demand_makes_sense_yes_no,low_risk_yes_no,notes
OTTO-33e34a34-d726-451d-a41d-5dd8a095fb0b,B0DTY91JWP,https://www.amazon.com/OLIPIC-Rolling-Adjustable-Warehouse-Firewood/dp/B0DTY91JWP/ref=sr_1_2,"Tire Rack, Rolling Tire Storage Rack 60"" X 59"" X 21"", Adjustable Metal Rolling Tire Rack for Indoor/Outdoor Use Tire Rack for Garage Warehouse, Also Be Used for Firewood Rack",OLIPIC,95.75,8,FREE delivery May 29 - June 2. Details,public_guest_zip,TRUE,prime_badge,FALSE,FALSE,FALSE,FALSE,pass,FALSE,72.61201499,25,0,78.34909307,yes,yes,yes,yes,
OTTO-cbb71ad5-f1bf-4e41-882d-f5209a7ed919,B0C8N81CZY,https://www.amazon.com/Management-Organizer-Accessories-Workspace-Organizers/dp/B0C8N81CZY/ref=sr_1_9,"Under Desk Cable Management Tray White, No Drill Desk Cable Management Organizer with Clamp for Desk Wire Management, PC Cord Organizer Accessories & Workspace Organizers for Office, Home",Kaiferty,13.99,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35. Order within 4 mins",public_guest_zip,TRUE,prime_badge,FALSE,FALSE,FALSE,FALSE,pass,FALSE,79.00007757,25,15,77.17903837,yes,yes,yes,yes,
OTTO-e4657369-1ae5-4c79-a2d3-ef348fc7ecf9,B0B82MZVFG,https://www.amazon.com/NODOCA-Management-Punch-Free-Newest-Organizer/dp/B0B82MZVFG/ref=sr_1_10,"NODOCA No Drill Under Desk Cable Management Tray, 14'' Wire Management, Punch-Free Clamp on, Metal Cable Tray, Wire Organizer Under Desk, Under Desk Basket for Office and Home, Black",NODOCA,26.99,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35 Or fastest delivery Thursday, May 28. Order within 5 mins",public_guest_zip,FALSE,"sold_by_amazon,fulfilled_by_amazon",TRUE,FALSE,TRUE,TRUE,pass,FALSE,81.70639814,25,15,78.75788583,yes,yes,yes,yes,
OTTO-899e5a90-6fda-44df-a0c2-c1e582d0696c,B089B4XZM4,https://www.amazon.com/VIVO-Management-Holder-Organizer-DESK-AC06-1C/dp/B089B4XZM4/ref=sr_1_3,"VIVO Under Desk 17 inch Cable Management Tray, Power Strip Holder, Cord Organizer, Wire Tamer for Office and Home, Black, DESK-AC06-1C",,19.99,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35 Or fastest delivery Thursday, May 28. Order within 3 mins",public_guest_zip,TRUE,"prime_badge,sold_by_amazon,fulfilled_by_amazon",TRUE,FALSE,TRUE,TRUE,pass,FALSE,83.01192696,25,0,80.96954419,no,yes,yes,yes,too many sellers
OTTO-b7a428b6-d040-48ec-94f6-026eff2e5589,B08GCJ9LHB,https://www.amazon.com/Goplus-Foldable-Kneeler-Portable-Pouches/dp/B08GCJ9LHB/ref=sr_1_2,"Goplus Garden Kneeler and Seat, Foldable Garden Bench for Kneeling & Sitting, Widened 8"" EVA Soft Foam Pad, Heavy-Duty Garden Stool w/ 2 Large Tool Pouches, Gardening Gift for Women Men Seniors",Goplus,40.98,7,FREE delivery May 28 - June 1. Details,public_guest_zip,TRUE,prime_badge,FALSE,FALSE,FALSE,FALSE,pass,FALSE,73.19786154,25,0,79.24692257,yes,yes,yes,yes,
OTTO-686b73a5-e0e9-4912-8bf9-7158e89c414a,B0DS1QSHJL,https://www.amazon.com/Extra-Thick-Garden-Kneeling-Water-Resistant/dp/B0DS1QSHJL/ref=sr_1_1,"Extra Thick Garden Kneeling Pad - Foam Kneeling Pads for Gardening, Work & Exercise - Water-Resistant Knee Mat with Shock Absorbent Cushions for Baby Bath & Yoga, 17.2x11x1.5in, Black",fitply,10.99,7,"FREE delivery Monday, June 1 on orders shipped by Amazon over $35",public_guest_zip,TRUE,prime_badge,FALSE,FALSE,FALSE,FALSE,pass,FALSE,81.19277449,25,0,80.76336699,yes,yes,yes,yes,
OTTO-831c3817-aa4d-45e5-82e7-f3cf92f50993,B0GHZNDHKP,https://www.amazon.com/Grenebo-High-Density-Kneeling-Gardening-17-3%C3%9711%C3%971-6/dp/B0GHZNDHKP/ref=sr_1_2,"Grenebo High-Density NBR Foam Garden Kneeling Pad, 1.6"" Extra Thick Gardening Pads for Kneeling, Ultra Soft Kneeling Pads for Gardening, Work, Exercise, Yoga, 17.3×11×1.6 in (2, Black)",Grenebo,20.99,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35 Or fastest delivery Thursday, May 28. Order within 2 mins",public_guest_zip,FALSE,,FALSE,FALSE,FALSE,FALSE,pass,FALSE,78.01942213,25,0,80.17642464,yes,yes,yes,yes,
OTTO-e3a54f7e-f367-45b9-9431-474f56f2efa1,B0CMCS65GB,https://www.amazon.com/HOOPLE-Kneeling-Waterproof-Gardening-Lightweight/dp/B0CMCS65GB/ref=sr_1_1,"HOOPLE Extra Thick Kneeling Pad, Soft Foam Kneeling Cushion, Waterproof Gardening Knee Pads, Lightweight Knee Mat for Bathing, Workout Supplies, Exercise Yoga, Garden Work Gifts 17.5 x 11 x 1 in, Black",HOOPLE,12.99,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35. Order within 2 mins",public_guest_zip,TRUE,"prime_badge,sold_by_amazon,fulfilled_by_amazon",TRUE,FALSE,TRUE,TRUE,pass,FALSE,88.93007703,25,15,81.63099506,no,yes,yes,yes,too many sellers
OTTO-3a52aad1-fc4e-473b-8a01-c8f0ba3b19ed,B07T9Z4NVP,https://www.amazon.com/Dimple-Kneeling-Kneelers-Gardening-Exercise/dp/B07T9Z4NVP/ref=sr_1_9,"Dimple Kneeling Pad, High Density Thick Foam Comfort Kneeling Mats for Gardening, Yoga Exercise, Garden Cushions, Knee Pads Black",Dimple,12.89,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35. Order within 1 min",public_guest_zip,FALSE,,FALSE,FALSE,FALSE,FALSE,pass,FALSE,84.72481282,25,0,82.93002259,yes,yes,yes,yes,
OTTO-4bf998d6-8e29-413a-8bb7-0698a1116e5e,B098QQ2B4B,https://www.amazon.com/HappyPicnic-Waterproof-Kneeling-Exercise-Planting/dp/B098QQ2B4B/ref=sr_1_1,"HappyPicnic Waterproof Garden Kneeling Pad - 2"" Thick Soft Foam Kneeling Mat for Gardeners with Handle & Removable Cover, Knee Support for Bathing, Grey",HappyPicnic,17.98,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35 Or fastest delivery Thursday, May 28. Order within 1 min",public_guest_zip,TRUE,prime_badge,FALSE,FALSE,FALSE,FALSE,pass,FALSE,84.19129556,25,0,82.50911384,yes,yes,yes,yes,
